,Year,Month,Day of month,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,flight num,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,Haul
141,1988,3,26,2,1000.0,950,1053.0,1050,PI,2233,,53.0,60,,3.0,10.0,LGA,SYR,198,1,C,Y,,,,,Short
142,1988,3,27,3,948.0,950,1049.0,1050,PI,4567,,61.0,60,,-1.0,-2.0,LGA,SYR,198,1,C,Y,,,,,Short
143,1988,4,28,4,952.0,950,1041.0,1050,PI,8765,,49.0,60,,-9.0,2.0,LGA,SYR,198,1,N,Y,,,,,Short
144,1988,4,29,5,948.0,950,1048.0,1050,PI,3568,,60.0,60,,-2.0,-2.0,LGA,SYR,198,0,A,Y,,,,,Short
145,1988,4,30,6,950.0,950,1040.0,1050,PI,1254,,50.0,60,,-10.0,0.0,LGA,SYR,198,1,N,N,,,,,Short
146,1988,4,1,5,1104.0,1110,1143.0,1145,PI,5432,,39.0,35,,-2.0,-6.0,SYR,BUF,134,0,N,N,,,,,Short
147,1988,4,3,7,1112.0,1110,1150.0,1145,PI,6543,,38.0,35,,5.0,2.0,SYR,BUF,134,0,N,N,,,,,Short
148,1988,4,4,1,1249.0,1110,1328.0,1145,PI,7689,,39.0,35,,103.0,99.0,SYR,BUF,134,0,N,N,,,,,Short
149,1988,4,5,2,1108.0,1110,1154.0,1145,PI,9876,,46.0,35,,9.0,-2.0,SYR,BUF,134,0,N,N,,,,,Short
150,1988,4,6,3,1118.0,1110,1154.0,1145,PI,5890,,36.0,35,,9.0,8.0,SYR,BUF,134,0,N,N,,,,,Short
151,1988,4,7,4,1109.0,1110,1144.0,1145,PI,2596,,35.0,35,,-1.0,-1.0,SYR,BUF,134,0,N,N,,,,,Short
152,1988,4,8,5,1138.0,1110,1251.0,1145,PI,1334,,73.0,35,,66.0,28.0,SYR,BUF,134,0,N,N,,,,,Short
153,1988,4,11,1,1109.0,1110,1144.0,1145,PI,2255,,35.0,35,,-1.0,-1.0,SYR,BUF,134,0,N,N,,,,,Short
154,1988,4,12,2,1110.0,1110,1148.0,1145,PI,3445,,38.0,35,,3.0,0.0,SYR,BUF,134,0,N,N,,,,,Short
155,1988,5,13,3,1126.0,1110,1201.0,1145,PI,1345,,35.0,35,,16.0,16.0,SYR,BUF,134,0,N,N,,,,,Short
156,1988,5,14,4,1139.0,1110,1212.0,1145,PI,1458,,33.0,35,,27.0,29.0,SYR,BUF,134,0,N,N,,,,,Short
157,1988,5,15,5,1108.0,1110,1146.0,1145,PI,1225,,38.0,35,,1.0,-2.0,SYR,BUF,134,0,N,N,,,,,Short
158,1988,5,16,6,1110.0,1110,1146.0,1145,PI,5667,,36.0,35,,1.0,0.0,SYR,BUF,134,0,N,N,,,,,Short
159,1988,5,18,1,1124.0,1110,1213.0,1145,PI,3445,,49.0,35,,28.0,14.0,SYR,BUF,134,0,N,N,,,,,Short
160,1988,5,19,2,1110.0,1110,1152.0,1145,PI,2233,,42.0,35,,7.0,0.0,SYR,BUF,134,0,N,N,,,,,Short
161,1988,5,20,3,1113.0,1110,1146.0,1145,PI,4567,,33.0,35,,1.0,3.0,SYR,BUF,134,0,N,N,,,,,Short
162,1988,5,21,4,1109.0,1110,1146.0,1145,PI,8765,,37.0,35,,1.0,-1.0,SYR,BUF,134,0,N,N,,,,,Short
163,1988,5,22,5,1107.0,1110,1145.0,1145,PI,3568,,38.0,35,,0.0,-3.0,SYR,BUF,134,0,N,N,,,,,Short
164,1988,5,23,6,1110.0,1110,1142.0,1145,PI,1254,,32.0,35,,-3.0,0.0,SYR,BUF,134,0,A,N,,,,,Short
165,1988,5,25,1,1108.0,1110,1145.0,1145,PI,5432,,37.0,35,,0.0,-2.0,SYR,BUF,134,1,A,N,,,,,Short
167,1988,5,27,3,1109.0,1110,1148.0,1145,PI,7689,,39.0,35,,3.0,-1.0,SYR,BUF,134,1,B,N,,,,,Short
168,1988,5,28,4,1106.0,1110,1140.0,1145,PI,9876,,34.0,35,,-5.0,-4.0,SYR,BUF,134,1,B,Y,,,,,Short
169,1988,6,29,5,1108.0,1110,1145.0,1145,PI,5890,,37.0,35,,0.0,-2.0,SYR,BUF,134,1,N,N,,,,,Short
170,1988,6,30,6,1110.0,1110,1147.0,1145,PI,2596,,37.0,35,,2.0,0.0,SYR,BUF,134,0,N,Y,,,,,Short
171,1988,6,1,5,1457.0,1500,1553.0,1550,PI,1334,,56.0,50,,3.0,-3.0,JFK,UCA,191,0,N,Y,,,,,Short
172,1988,6,2,6,1458.0,1500,1552.0,1550,PI,2255,,54.0,50,,2.0,-2.0,JFK,UCA,191,0,N,N,,,,,Short
173,1988,6,3,7,1459.0,1500,1549.0,1550,PI,3445,,50.0,50,,-1.0,-1.0,JFK,UCA,191,0,N,Y,,,,,Short
174,1988,6,4,1,1556.0,1500,1727.0,1550,PI,1345,,91.0,50,,97.0,56.0,JFK,UCA,191,0,N,Y,,,,,Short
175,1988,6,5,2,1500.0,1500,1605.0,1550,PI,1458,,65.0,50,,15.0,0.0,JFK,UCA,191,0,N,N,,,,,Short
176,1988,6,6,3,1500.0,1500,1553.0,1550,PI,1225,,53.0,50,,3.0,0.0,JFK,UCA,191,0,N,N,,,,,Short
177,1988,6,7,4,1500.0,1500,1602.0,1550,PI,5667,,62.0,50,,12.0,0.0,JFK,UCA,191,0,N,N,,,,,Short
179,1988,6,10,7,1503.0,1500,1602.0,1550,PI,2233,,59.0,50,,12.0,3.0,JFK,UCA,191,1,N,N,,,,,Short
180,1988,6,11,1,1459.0,1500,1554.0,1550,PI,4567,,55.0,50,,4.0,-1.0,JFK,UCA,191,0,N,N,,,,,Short
181,1988,6,12,2,1515.0,1500,1617.0,1550,PI,8765,,62.0,50,,27.0,15.0,JFK,UCA,191,0,N,N,,,,,Short
182,1988,6,13,3,1501.0,1500,1553.0,1550,PI,3568,,52.0,50,,3.0,1.0,JFK,UCA,191,0,B,N,,,,,Short
183,1988,7,14,4,1501.0,1500,1559.0,1550,PI,1254,,58.0,50,,9.0,1.0,JFK,UCA,191,1,B,N,,,,,Short
184,1988,7,15,5,1500.0,1500,1554.0,1550,PI,5432,,54.0,50,,4.0,0.0,JFK,UCA,191,1,B,N,,,,,Short
185,1988,7,16,6,1500.0,1500,1600.0,1550,PI,6543,,60.0,50,,10.0,0.0,JFK,UCA,191,1,B,N,,,,,Short
186,1988,7,17,7,1500.0,1500,1549.0,1550,PI,7689,,49.0,50,,-1.0,0.0,JFK,UCA,191,1,B,N,,,,,Short
187,1988,7,18,1,1459.0,1500,1603.0,1550,PI,9876,,64.0,50,,13.0,-1.0,JFK,UCA,191,1,N,N,,,,,Short
188,1988,7,19,2,1500.0,1500,1553.0,1550,PI,5890,,53.0,50,,3.0,0.0,JFK,UCA,191,0,N,Y,,,,,Short
189,1988,7,20,3,1457.0,1500,1552.0,1550,PI,2596,,55.0,50,,2.0,-3.0,JFK,UCA,191,0,N,N,,,,,Short
190,1988,7,21,4,1458.0,1500,1558.0,1550,PI,1334,,60.0,50,,8.0,-2.0,JFK,UCA,191,0,N,N,,,,,Short
191,1988,7,22,5,1501.0,1500,1550.0,1550,PI,2255,,49.0,50,,0.0,1.0,JFK,UCA,191,0,N,N,,,,,Short
192,1988,7,23,6,1459.0,1500,1554.0,1550,PI,3445,,55.0,50,,4.0,-1.0,JFK,UCA,191,0,A,N,,,,,Short
193,1988,7,24,7,1501.0,1500,1547.0,1550,PI,1345,,46.0,50,,-3.0,1.0,JFK,UCA,191,1,A,N,,,,,Short
194,1988,7,25,1,1501.0,1500,1552.0,1550,PI,1223,,51.0,50,,2.0,1.0,JFK,UCA,191,1,A,N,,,,,Short
195,1988,7,26,2,1524.0,1500,1612.0,1550,PI,3445,,48.0,50,,22.0,24.0,JFK,UCA,191,1,N,Y,,,,,Short
196,1988,7,27,3,1457.0,1500,1559.0,1550,PI,4567,,62.0,50,,9.0,-3.0,JFK,UCA,191,0,N,N,,,,,Short
197,1988,7,28,4,1457.0,1500,1554.0,1550,PI,1234,,57.0,50,,4.0,-3.0,JFK,UCA,191,0,N,N,,,,,Short
198,1997,1,28,2,1615.0,1615,1728.0,1725,WN,1159,N683,73.0,70,60.0,3.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
199,1997,1,29,3,1624.0,1615,1735.0,1725,WN,1159,N626,71.0,70,56.0,10.0,9.0,ABQ,PHX,328,0,N,N,,,,,Short
200,1997,1,30,4,1626.0,1615,1730.0,1725,WN,1159,N321,64.0,70,52.0,5.0,11.0,ABQ,PHX,328,0,N,N,,,,,Short
201,1997,1,31,5,1628.0,1615,1729.0,1725,WN,1159,N383,61.0,70,50.0,4.0,13.0,ABQ,PHX,328,0,N,N,,,,,Short
202,1997,1,14,2,1503.0,1425,1619.0,1535,WN,1221,N513,76.0,70,64.0,44.0,38.0,ABQ,PHX,328,1,A,N,,,,,Short
203,1997,1,1,3,1029.0,1020,1127.0,1130,WN,1293,N369,58.0,70,52.0,-3.0,9.0,ABQ,PHX,328,1,A,N,,,,,Short
204,1997,1,2,4,1020.0,1020,1130.0,1130,WN,1293,N395,70.0,70,57.0,0.0,0.0,ABQ,PHX,328,1,B,N,,,,,Short
205,1997,1,3,5,1029.0,1020,1145.0,1130,WN,1293,N694,76.0,70,64.0,15.0,9.0,ABQ,PHX,328,1,A,Y,,,,,Short
206,1997,1,5,7,1020.0,1020,1141.0,1130,WN,1293,N601,81.0,70,61.0,11.0,0.0,ABQ,PHX,328,1,A,Y,,,,,Short
207,1997,1,6,1,1030.0,1020,1139.0,1130,WN,1293,N321,69.0,70,61.0,9.0,10.0,ABQ,PHX,328,1,C,N,,,,,Short
208,1997,1,7,2,1020.0,1020,1123.0,1130,WN,1293,N351,63.0,70,56.0,-7.0,0.0,ABQ,PHX,328,0,N,Y,,,,,Short
209,1997,1,8,3,1107.0,1020,1205.0,1130,WN,1293,N677,58.0,70,46.0,35.0,47.0,ABQ,PHX,328,0,N,N,,,,,Short
210,1997,1,9,4,1020.0,1020,1130.0,1130,WN,1293,N623,70.0,70,59.0,0.0,0.0,ABQ,PHX,328,1,A,Y,,,,,Short
211,1997,1,10,5,1020.0,1020,1123.0,1130,WN,1293,N632,63.0,70,56.0,-7.0,0.0,ABQ,PHX,328,1,A,N,,,,,Short
212,1997,1,12,7,1020.0,1020,1134.0,1130,WN,1293,N375,74.0,70,65.0,4.0,0.0,ABQ,PHX,328,1,A,Y,,,,,Short
214,1997,1,14,2,1020.0,1020,1144.0,1130,WN,1293,N632,84.0,70,72.0,14.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
215,1997,1,1,3,1523.0,1510,1625.0,1620,WN,1427,N347,62.0,70,48.0,5.0,13.0,ABQ,PHX,328,0,N,N,,,,,Short
216,1997,1,2,4,1537.0,1510,1638.0,1620,WN,1427,N601,61.0,70,49.0,18.0,27.0,ABQ,PHX,328,0,N,N,,,,,Short
217,1997,1,3,5,1515.0,1510,1634.0,1620,WN,1427,N389,79.0,70,62.0,14.0,5.0,ABQ,PHX,328,0,N,N,,,,,Short
218,1997,1,5,7,1556.0,1510,1705.0,1620,WN,1427,N352,69.0,70,60.0,45.0,46.0,ABQ,PHX,328,0,N,N,,,,,Short
219,1997,1,6,1,1540.0,1510,1645.0,1620,WN,1427,N691,65.0,70,51.0,25.0,30.0,ABQ,PHX,328,0,N,N,,,,,Short
220,1997,1,7,2,1510.0,1510,1610.0,1620,WN,1427,N688,60.0,70,51.0,-10.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
221,1997,1,8,3,1510.0,1510,1616.0,1620,WN,1427,N368,66.0,70,53.0,-4.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
222,1997,1,9,4,1510.0,1510,1609.0,1620,WN,1427,N359,59.0,70,51.0,-11.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
223,1997,1,10,5,1510.0,1510,1624.0,1620,WN,1427,N372,74.0,70,57.0,4.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
224,1997,1,12,7,1520.0,1510,1632.0,1620,WN,1427,N386,72.0,70,61.0,12.0,10.0,ABQ,PHX,328,0,N,Y,,,,,Short
225,1997,1,13,1,1538.0,1510,1705.0,1620,WN,1427,N621,87.0,70,66.0,45.0,28.0,ABQ,PHX,328,1,B,N,,,,,Short
226,1997,1,14,2,1518.0,1510,1642.0,1620,WN,1427,N330,84.0,70,67.0,22.0,8.0,ABQ,PHX,328,1,C,Y,,,,,Short
227,1997,1,15,3,1550.0,1510,1658.0,1620,WN,1427,N348,68.0,70,57.0,38.0,40.0,ABQ,PHX,328,1,C,N,,,,,Short
228,1997,1,16,4,1542.0,1510,1647.0,1620,WN,1427,N362,65.0,70,54.0,27.0,32.0,ABQ,PHX,328,1,A,Y,,,,,Short
229,1997,1,17,5,1530.0,1510,1633.0,1620,WN,1427,N320,63.0,70,50.0,13.0,20.0,ABQ,PHX,328,1,B,N,,,,,Short
230,1997,1,19,7,1535.0,1510,1640.0,1620,WN,1427,N686,65.0,70,50.0,20.0,25.0,ABQ,PHX,328,0,N,Y,,,,,Short
231,1997,1,20,1,1510.0,1510,1613.0,1620,WN,1427,N316,63.0,70,50.0,-7.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
232,1997,1,21,2,1538.0,1510,1655.0,1620,WN,1427,N603,77.0,70,60.0,35.0,28.0,ABQ,PHX,328,0,N,Y,,,,,Short
233,1997,1,22,3,1510.0,1510,1620.0,1620,WN,1427,N316,70.0,70,60.0,0.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
234,1997,1,23,4,1510.0,1510,1623.0,1620,WN,1427,N643,73.0,70,57.0,3.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
235,1997,1,24,5,1510.0,1510,1623.0,1620,WN,1427,N637,73.0,70,61.0,3.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
236,1997,1,26,7,1528.0,1510,1635.0,1620,WN,1427,N364,67.0,70,58.0,15.0,18.0,ABQ,PHX,328,1,A,N,,,,,Short
237,1997,1,27,1,1510.0,1510,1612.0,1620,WN,1427,N330,62.0,70,49.0,-8.0,0.0,ABQ,PHX,328,1,A,N,,,,,Short
239,1997,1,29,3,1510.0,1510,1620.0,1620,WN,1427,N332,70.0,70,55.0,0.0,0.0,ABQ,PHX,328,1,B,N,,,,,Short
240,1997,1,30,4,1510.0,1510,1617.0,1620,WN,1427,N370,67.0,70,52.0,-3.0,0.0,ABQ,PHX,328,1,C,Y,,,,,Short
241,1997,1,31,5,1518.0,1510,1620.0,1620,WN,1427,N395,62.0,70,51.0,0.0,8.0,ABQ,PHX,328,1,C,Y,,,,,Short
242,1997,1,1,3,1325.0,1305,1420.0,1415,WN,1579,N50,55.0,70,45.0,5.0,20.0,ABQ,PHX,328,0,N,Y,,,,,Short
243,1997,1,2,4,1340.0,1305,1445.0,1415,WN,1579,N68,65.0,70,51.0,30.0,35.0,ABQ,PHX,328,1,A,Y,,,,,Short
244,1997,1,3,5,1350.0,1305,1509.0,1415,WN,1579,N501,79.0,70,62.0,54.0,45.0,ABQ,PHX,328,0,N,N,,,,,Short
245,1997,1,4,6,1305.0,1305,1419.0,1415,WN,1579,N506,74.0,70,62.0,4.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
246,1997,1,5,7,1305.0,1305,1415.0,1415,WN,1579,N528,70.0,70,58.0,0.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
247,1997,1,6,1,1324.0,1305,1443.0,1415,WN,1579,N80,79.0,70,61.0,28.0,19.0,ABQ,PHX,328,0,N,N,,,,,Short
248,1997,1,7,2,1308.0,1305,1418.0,1415,WN,1579,N398,70.0,70,58.0,3.0,3.0,ABQ,PHX,328,0,N,N,,,,,Short
249,1997,1,8,3,1314.0,1305,1412.0,1415,WN,1579,N527,58.0,70,49.0,-3.0,9.0,ABQ,PHX,328,0,N,N,,,,,Short
250,1997,1,9,4,1312.0,1305,1414.0,1415,WN,1579,N522,62.0,70,53.0,-1.0,7.0,ABQ,PHX,328,0,N,N,,,,,Short
251,1997,1,10,5,1437.0,1305,1546.0,1415,WN,1579,N392,69.0,70,58.0,91.0,92.0,ABQ,PHX,328,0,N,N,,,,,Short
252,1997,1,11,6,1305.0,1305,1412.0,1415,WN,1579,N60,67.0,70,55.0,-3.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
253,1997,1,12,7,1313.0,1305,1420.0,1415,WN,1579,N678,67.0,70,58.0,5.0,8.0,ABQ,PHX,328,0,N,N,,,,,Short
254,1997,1,13,1,1312.0,1305,1426.0,1415,WN,1579,N521,74.0,70,61.0,11.0,7.0,ABQ,PHX,328,0,N,N,,,,,Short
255,1997,1,14,2,1325.0,1305,1445.0,1415,WN,1579,N525,80.0,70,65.0,30.0,20.0,ABQ,PHX,328,0,N,N,,,,,Short
256,1997,1,15,3,1315.0,1305,1420.0,1415,WN,1579,N93,65.0,70,54.0,5.0,10.0,ABQ,PHX,328,0,N,N,,,,,Short
257,1997,1,16,4,1305.0,1305,1410.0,1415,WN,1579,N508,65.0,70,54.0,-5.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
258,1997,1,17,5,1326.0,1305,1429.0,1415,WN,1579,N504,63.0,70,51.0,14.0,21.0,ABQ,PHX,328,0,N,N,,,,,Short
259,1997,1,18,6,1324.0,1305,1424.0,1415,WN,1579,N520,60.0,70,52.0,9.0,19.0,ABQ,PHX,328,0,N,N,,,,,Short
260,1997,1,19,7,1345.0,1305,1455.0,1415,WN,1579,N668,70.0,70,55.0,40.0,40.0,ABQ,PHX,328,0,N,N,,,,,Short
261,1997,1,20,1,1311.0,1305,1417.0,1415,WN,1579,N502,66.0,70,59.0,2.0,6.0,ABQ,PHX,328,0,N,N,,,,,Short
262,1997,1,21,2,1305.0,1305,1417.0,1415,WN,1579,N503,72.0,70,54.0,2.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
263,1997,1,22,3,1305.0,1305,1410.0,1415,WN,1579,N512,65.0,70,56.0,-5.0,0.0,ABQ,PHX,328,1,A,N,,,,,Short
264,1997,1,23,4,1305.0,1305,1415.0,1415,WN,1579,N722,70.0,70,52.0,0.0,0.0,ABQ,PHX,328,1,A,N,,,,,Short
265,1997,1,24,5,1309.0,1305,1425.0,1415,WN,1579,N86,76.0,70,58.0,10.0,4.0,ABQ,PHX,328,1,B,N,,,,,Short
266,1997,1,25,6,1305.0,1305,1414.0,1415,WN,1579,N513,69.0,70,61.0,-1.0,0.0,ABQ,PHX,328,1,B,N,,,,,Short
267,1997,1,26,7,1310.0,1305,1438.0,1415,WN,1579,N508,88.0,70,62.0,23.0,5.0,ABQ,PHX,328,1,B,Y,,,,,Short
268,1997,1,27,1,1305.0,1305,1412.0,1415,WN,1579,N526,67.0,70,52.0,-3.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
269,1997,1,28,2,1305.0,1305,1409.0,1415,WN,1579,N506,64.0,70,55.0,-6.0,0.0,ABQ,PHX,328,0,N,Y,,,,,Short
270,1997,1,29,3,1305.0,1305,1413.0,1415,WN,1579,N509,68.0,70,55.0,-2.0,0.0,ABQ,PHX,328,0,N,Y,,,,,Short
272,1997,1,31,5,1310.0,1305,1412.0,1415,WN,1579,N505,62.0,70,53.0,-3.0,5.0,ABQ,PHX,328,0,N,Y,,,,,Short
273,1997,1,2,4,700.0,700,802.0,810,WN,1609,N374,62.0,70,51.0,-8.0,0.0,ABQ,PHX,328,0,N,Y,,,,,Short
274,1997,1,3,5,700.0,700,808.0,810,WN,1609,N667,68.0,70,57.0,-2.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
275,1997,1,6,1,719.0,700,832.0,810,WN,1609,N520,73.0,70,61.0,22.0,19.0,ABQ,PHX,328,0,N,N,,,,,Short
276,1997,1,7,2,700.0,700,758.0,810,WN,1609,N672,58.0,70,51.0,-12.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
277,1997,1,8,3,700.0,700,757.0,810,WN,1609,N398,57.0,70,48.0,-13.0,0.0,ABQ,PHX,328,1,A,N,,,,,Short
278,1997,1,9,4,700.0,700,805.0,810,WN,1609,N628,65.0,70,55.0,-5.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
279,1997,1,10,5,700.0,700,809.0,810,WN,1609,N624,69.0,70,57.0,-1.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
280,1997,1,13,1,700.0,700,811.0,810,WN,1609,N683,71.0,70,58.0,1.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
281,1997,1,14,2,700.0,700,823.0,810,WN,1609,N664,83.0,70,62.0,13.0,0.0,ABQ,PHX,328,1,B,N,,,,,Short
282,1997,1,15,3,700.0,700,810.0,810,WN,1609,N612,70.0,70,61.0,0.0,0.0,ABQ,PHX,328,1,B,N,,,,,Short
283,1997,1,16,4,700.0,700,810.0,810,WN,1609,N335,70.0,70,60.0,0.0,0.0,ABQ,PHX,328,1,B,N,,,,,Short
284,1997,1,17,5,700.0,700,759.0,810,WN,1609,N600,59.0,70,47.0,-11.0,0.0,ABQ,PHX,328,1,B,N,,,,,Short
285,1997,1,20,1,700.0,700,805.0,810,WN,1609,N689,65.0,70,55.0,-5.0,0.0,ABQ,PHX,328,1,B,N,,,,,Short
286,1997,1,21,2,700.0,700,810.0,810,WN,1609,N641,70.0,70,62.0,0.0,0.0,ABQ,PHX,328,0,N,N,,,,,Short
287,1997,1,22,3,700.0,700,812.0,810,WN,1609,N387,72.0,70,62.0,2.0,0.0,ABQ,PHX,328,0,N,Y,,,,,Short
