Year,Month,Day of month,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,flight num,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay
1987,10,9,5,947,915,1036,1001,PS,3445,NA,49,46,NA,35,32,SFO,RNO,192,0,N,N,,,,
1987,10,10,6,915,915,1022,1001,PS,2233,NA,67,46,NA,21,0,SFO,RNO,192,0,N,N,,,,
1987,10,11,7,916,915,1006,1001,PS,4567,NA,50,46,NA,5,1,SFO,RNO,192,0,N,N,,,,
1987,10,12,1,944,915,1027,1001,PS,8765,NA,43,46,NA,26,29,SFO,RNO,192,0,N,N,,,,
1987,10,13,2,941,915,1036,1001,PS,3568,NA,55,46,NA,35,26,SFO,RNO,192,0,N,Y,,,,
1987,10,14,3,930,915,1029,1001,PS,1254,NA,59,46,NA,28,15,SFO,RNO,192,1,B,N,,,,
1987,10,15,4,920,915,1023,1001,PS,5432,NA,63,46,NA,22,5,SFO,RNO,192,1,C,Y,,,,
1987,10,17,6,1009,915,1104,1001,PS,6543,NA,55,46,NA,63,54,SFO,RNO,192,1,C,N,,,,
1987,10,18,7,915,915,1008,1001,PS,7689,NA,53,46,NA,7,0,SFO,RNO,192,1,A,Y,,,,
1987,10,19,1,940,915,1032,1001,PS,9876,NA,52,46,NA,31,25,SFO,RNO,192,1,B,N,,,,
1987,10,21,3,913,915,1003,1001,PS,5890,NA,50,46,NA,2,-2,SFO,RNO,192,0,N,Y,,,,
1987,10,22,4,915,915,1017,1001,PS,2596,NA,62,46,NA,16,0,SFO,RNO,192,0,N,N,,,,
1987,10,23,5,927,915,1022,1001,PS,1334,NA,55,46,NA,21,12,SFO,RNO,192,0,N,Y,,,,
1987,10,24,6,929,915,1052,1001,PS,2255,NA,83,46,NA,51,14,SFO,RNO,192,0,N,N,,,,
1987,10,25,7,914,915,1011,1001,PS,3445,NA,57,46,NA,10,-1,SFO,RNO,192,0,N,N,,,,
1987,10,26,1,917,915,1023,1001,PS,1345,NA,66,46,NA,22,2,SFO,RNO,192,0,N,N,,,,
1987,10,27,2,916,915,1014,1001,PS,1458,NA,58,46,NA,13,1,SFO,RNO,192,1,A,N,,,,
1987,10,28,3,941,925,1106,1015,PS,1225,NA,85,50,NA,51,16,SFO,RNO,192,1,A,N,,,,
1987,10,29,4,940,925,1044,1015,PS,5667,NA,64,50,NA,29,15,SFO,RNO,192,1,A,N,,,,
1987,10,30,5,1009,925,1105,1015,PS,3445,NA,56,50,NA,50,44,SFO,RNO,192,1,B,N,,,,
1987,10,31,6,945,925,1040,1015,PS,2233,NA,55,50,NA,25,20,SFO,RNO,192,1,C,Y,,,,
1987,10,1,4,1520,1505,1624,1608,PS,4567,NA,64,63,NA,16,15,BUR,OAK,325,1,C,Y,,,,
1987,10,2,5,1508,1505,1615,1608,PS,8765,NA,67,63,NA,7,3,BUR,OAK,325,0,N,Y,,,,
1987,10,4,7,1526,1505,1625,1608,PS,3568,NA,59,63,NA,17,21,BUR,OAK,325,1,A,Y,,,,
1987,10,5,1,1504,1505,1602,1608,PS,1254,NA,58,63,NA,-6,-1,BUR,OAK,325,0,N,N,,,,
1987,10,6,2,1505,1505,1607,1608,PS,5432,NA,62,63,NA,-1,0,BUR,OAK,325,0,N,N,,,,
1987,10,7,3,1512,1505,1614,1608,PS,6543,NA,62,63,NA,6,7,BUR,OAK,325,0,N,N,,,,
1987,10,8,4,1528,1505,1636,1608,PS,7689,NA,68,63,NA,28,23,BUR,OAK,325,0,N,N,,,,
1987,10,9,5,1606,1505,1708,1608,PS,9876,NA,62,63,NA,60,61,BUR,OAK,325,0,N,N,,,,
1987,10,11,7,1505,1505,1602,1608,PS,5890,NA,57,63,NA,-6,0,BUR,OAK,325,0,N,N,,,,
1987,10,12,1,NA,1505,NA,1608,PS,2596,NA,NA,63,NA,NA,NA,BUR,OAK,325,0,N,N,,,,
1987,10,13,2,1533,1505,1640,1608,PS,1334,NA,67,63,NA,32,28,BUR,OAK,325,0,N,N,,,,
1987,10,14,3,1528,1505,1639,1608,PS,2255,NA,71,63,NA,31,23,BUR,OAK,325,0,N,N,,,,
1987,10,15,4,1543,1505,1645,1608,PS,3445,NA,62,63,NA,37,38,BUR,OAK,325,0,N,N,,,,
1987,10,16,5,1521,1505,1626,1608,PS,1345,NA,65,63,NA,18,16,BUR,OAK,325,0,N,N,,,,
1987,10,19,1,1513,1505,1617,1608,PS,1458,NA,64,63,NA,9,8,BUR,OAK,325,0,N,N,,,,
1987,10,20,2,1551,1505,1646,1608,PS,1225,NA,55,63,NA,38,46,BUR,OAK,325,0,N,N,,,,
1987,10,21,3,1504,1505,1620,1608,PS,5667,NA,76,63,NA,12,-1,BUR,OAK,325,0,N,N,,,,
1987,10,22,4,1518,1505,1623,1608,PS,3445,NA,65,63,NA,15,13,BUR,OAK,325,0,N,N,,,,
1987,10,23,5,1558,1505,1717,1608,PS,2233,NA,79,63,NA,69,53,BUR,OAK,325,0,N,N,,,,
1987,10,25,7,1531,1505,1635,1608,PS,4567,NA,64,63,NA,27,26,BUR,OAK,325,0,N,N,,,,
1987,10,26,1,1508,1505,1614,1608,PS,8765,NA,66,63,NA,6,3,BUR,OAK,325,0,N,N,,,,
1987,10,27,2,1531,1505,1627,1608,PS,3568,NA,56,63,NA,19,26,BUR,OAK,325,0,N,N,,,,
1987,10,28,3,1550,1550,1706,1657,PS,1254,NA,76,67,NA,9,0,BUR,OAK,325,1,A,N,,,,
1987,10,29,4,1550,1550,1700,1657,PS,5432,NA,70,67,NA,3,0,BUR,OAK,325,1,A,N,,,,
1987,10,30,5,1556,1550,1706,1657,PS,6543,NA,70,67,NA,9,6,BUR,OAK,325,1,B,N,,,,
1987,10,1,4,1643,1635,1750,1732,PS,7689,NA,67,57,NA,18,8,OAK,BUR,325,1,B,N,,,,
1987,10,2,5,1635,1635,1737,1732,PS,9876,NA,62,57,NA,5,0,OAK,BUR,325,1,B,Y,,,,
1987,10,3,6,1634,1635,1748,1732,PS,5890,NA,74,57,NA,16,-1,OAK,BUR,325,0,N,N,,,,
1987,10,4,7,1646,1635,1750,1732,PS,2596,NA,64,57,NA,18,11,OAK,BUR,325,0,N,Y,,,,
1987,10,5,1,1634,1635,1736,1732,PS,1334,NA,62,57,NA,4,-1,OAK,BUR,325,0,N,Y,,,,
1987,10,6,2,1634,1635,1735,1732,PS,2255,NA,61,57,NA,3,-1,OAK,BUR,325,0,N,N,,,,
1987,10,7,3,1634,1635,1730,1732,PS,3445,NA,56,57,NA,-2,-1,OAK,BUR,325,0,N,Y,,,,
1987,10,8,4,1654,1635,1755,1732,PS,1345,NA,61,57,NA,23,19,OAK,BUR,325,0,N,Y,,,,
1987,10,9,5,1731,1635,1831,1732,PS,1458,NA,60,57,NA,59,56,OAK,BUR,325,0,N,N,,,,
1987,10,10,6,1635,1635,1740,1732,PS,1225,NA,65,57,NA,8,0,OAK,BUR,325,0,N,N,,,,
1987,10,11,7,1634,1635,1740,1732,PS,5667,NA,66,57,NA,8,-1,OAK,BUR,325,0,N,N,,,,
1987,10,12,1,NA,1635,NA,1732,PS,3445,NA,NA,57,NA,NA,NA,OAK,BUR,325,1,A,N,,,,
1987,10,13,2,1656,1635,1758,1732,PS,2233,NA,62,57,NA,26,21,OAK,BUR,325,0,N,N,,,,
1987,10,14,3,1652,1635,1750,1732,PS,4567,NA,58,57,NA,18,17,OAK,BUR,325,0,N,N,,,,
1987,10,15,4,1701,1635,1805,1732,PS,8765,NA,64,57,NA,33,26,OAK,BUR,325,0,N,N,,,,
1987,10,16,5,1647,1635,1746,1732,PS,3568,NA,59,57,NA,14,12,OAK,BUR,325,1,B,N,,,,
1987,10,17,6,1634,1635,1743,1732,PS,1254,NA,69,57,NA,11,-1,OAK,BUR,325,1,B,N,,,,
1987,10,19,1,1635,1635,1735,1732,PS,5432,NA,60,57,NA,3,0,OAK,BUR,325,1,B,N,,,,
1987,10,20,2,1705,1635,1808,1732,PS,6543,NA,63,57,NA,36,30,OAK,BUR,325,1,B,N,,,,
1987,10,21,3,1638,1635,1742,1732,PS,7689,NA,64,57,NA,10,3,OAK,BUR,325,1,B,N,,,,
1987,10,22,4,1640,1635,1744,1732,PS,9876,NA,64,57,NA,12,5,OAK,BUR,325,0,N,N,,,,
1987,10,23,5,1743,1635,1845,1732,PS,5890,NA,62,57,NA,73,68,OAK,BUR,325,0,N,Y,,,,
1987,10,24,6,1634,1635,1745,1732,PS,2596,NA,71,57,NA,13,-1,OAK,BUR,325,0,N,N,,,,
1987,10,25,7,1657,1635,1804,1732,PS,1334,NA,67,57,NA,32,22,OAK,BUR,325,0,N,N,,,,
1987,10,26,1,1634,1635,1736,1732,PS,2255,NA,62,57,NA,4,-1,OAK,BUR,325,0,N,N,,,,
1987,10,27,2,1644,1635,1746,1732,PS,3445,NA,62,57,NA,14,9,OAK,BUR,325,1,A,N,,,,
1987,10,31,6,721,700,828,809,PS,1345,NA,67,69,NA,19,21,BUR,OAK,325,1,A,N,,,,
1987,10,1,4,851,830,1008,937,PS,1223,NA,77,67,NA,31,21,LAX,SFO,337,1,A,N,,,,
1987,10,2,5,831,830,948,937,PS,3445,NA,77,67,NA,11,1,LAX,SFO,337,0,N,Y,,,,
1987,10,5,1,833,830,932,937,PS,4567,NA,59,67,NA,-5,3,LAX,SFO,337,0,N,N,,,,
1987,10,6,2,NA,830,NA,937,PS,1234,NA,NA,67,NA,NA,NA,LAX,SFO,337,0,N,N,,,,
1988,1,9,6,1348,1331,1458,1435,PI,1458,NA,70,64,NA,23,17,SYR,BWI,273,0,N,N,,,,
1988,1,10,7,1334,1331,1443,1435,PI,1225,NA,69,64,NA,8,3,SYR,BWI,273,0,N,N,,,,
1988,1,11,1,1446,1331,1553,1435,PI,5667,NA,67,64,NA,78,75,SYR,BWI,273,0,N,N,,,,
1988,1,12,2,1334,1331,1438,1435,PI,3445,NA,64,64,NA,3,3,SYR,BWI,273,0,N,N,,,,
1988,1,13,3,1341,1331,1503,1435,PI,2233,NA,82,64,NA,28,10,SYR,BWI,273,0,A,N,,,,
1988,1,14,4,1332,1331,1447,1435,PI,4567,NA,75,64,NA,12,1,SYR,BWI,273,1,A,N,,,,
1988,1,15,5,1331,1331,1434,1435,PI,8765,NA,63,64,NA,-1,0,SYR,BWI,273,1,B,N,,,,
1988,1,16,6,1327,1331,1427,1435,PI,3568,NA,60,64,NA,-8,-4,SYR,BWI,273,1,A,Y,,,,
1988,1,17,7,1331,1331,1440,1435,PI,1254,NA,69,64,NA,5,0,SYR,BWI,273,1,A,Y,,,,
1988,1,18,1,1349,1331,1519,1435,PI,5432,NA,90,64,NA,44,18,SYR,BWI,273,1,C,N,,,,
1988,1,19,2,1337,1331,1438,1435,PI,6543,NA,61,64,NA,3,6,SYR,BWI,273,1,N,Y,,,,
1988,1,20,3,1337,1331,1452,1435,PI,7689,NA,75,64,NA,17,6,SYR,BWI,273,0,N,N,,,,
1988,1,21,4,1330,1331,1459,1435,PI,9876,NA,89,64,NA,24,-1,SYR,BWI,273,0,A,Y,,,,
1988,2,22,5,1331,1331,1434,1435,PI,5890,NA,63,64,NA,-1,0,SYR,BWI,273,1,A,N,,,,
1988,2,23,6,1333,1331,1436,1435,PI,2596,NA,63,64,NA,1,2,SYR,BWI,273,1,A,Y,,,,
1988,2,24,7,1328,1331,1430,1435,PI,1334,NA,62,64,NA,-5,-3,SYR,BWI,273,1,N,N,,,,
1988,2,25,1,1330,1331,1444,1435,PI,2255,NA,74,64,NA,9,-1,SYR,BWI,273,0,N,N,,,,
1988,2,26,2,1407,1331,1518,1435,PI,3445,NA,71,64,NA,43,36,SYR,BWI,273,0,N,N,,,,
1988,2,27,3,1332,1331,1445,1435,PI,1345,NA,73,64,NA,10,1,SYR,BWI,273,0,N,N,,,,
1988,2,28,4,1331,1331,1438,1435,PI,1458,NA,67,64,NA,3,0,SYR,BWI,273,0,N,N,,,,
1988,2,29,5,1339,1331,1442,1435,PI,1225,NA,63,64,NA,7,8,SYR,BWI,273,0,N,N,,,,
1988,2,30,6,1332,1331,1435,1435,PI,5667,NA,63,64,NA,0,1,SYR,BWI,273,0,N,N,,,,
1988,2,31,7,1329,1331,1434,1435,PI,3445,NA,65,64,NA,-1,-2,SYR,BWI,273,0,N,N,,,,
1988,2,1,5,947,950,1050,1050,PI,2233,NA,63,60,NA,0,-3,LGA,SYR,198,0,N,N,,,,
1988,2,3,7,957,950,1048,1050,PI,4567,NA,51,60,NA,-2,7,LGA,SYR,198,0,N,N,,,,
1988,2,4,1,1107,950,1219,1050,PI,8765,NA,72,60,NA,89,77,LGA,SYR,198,0,N,N,,,,
1988,2,6,3,950,950,1100,1050,PI,3568,NA,70,60,NA,10,0,LGA,SYR,198,0,N,Y,,,,
1988,2,7,4,956,950,1047,1050,PI,1254,NA,51,60,NA,-3,6,LGA,SYR,198,0,B,N,,,,
1988,2,8,5,NA,950,NA,1050,PI,5432,NA,NA,60,NA,NA,NA,LGA,SYR,198,1,C,Y,,,,
1988,2,11,1,950,950,1042,1050,PI,6543,NA,52,60,NA,-8,0,LGA,SYR,198,1,C,N,,,,
1988,2,12,2,949,950,1051,1050,PI,7689,NA,62,60,NA,1,-1,LGA,SYR,198,1,A,Y,,,,
1988,3,13,3,1023,950,1117,1050,PI,9876,NA,54,60,NA,27,33,LGA,SYR,198,1,B,N,,,,
1988,3,14,4,1020,950,1128,1050,PI,5890,NA,68,60,NA,38,30,LGA,SYR,198,1,N,Y,,,,
1988,3,15,5,951,950,1043,1050,PI,2596,NA,52,60,NA,-7,1,LGA,SYR,198,0,N,N,,,,
1988,3,16,6,950,950,1047,1050,PI,1334,NA,57,60,NA,-3,0,LGA,SYR,198,0,N,Y,,,,
1988,3,18,1,NA,950,NA,1050,PI,2255,NA,NA,60,NA,NA,NA,LGA,SYR,198,0,N,N,,,,
1988,3,19,2,955,950,1100,1050,PI,3445,NA,65,60,NA,10,5,LGA,SYR,198,0,N,N,,,,
1988,3,20,3,956,950,1056,1050,PI,1345,NA,60,60,NA,6,6,LGA,SYR,198,0,N,N,,,,
1988,3,21,4,1002,950,1055,1050,PI,1458,NA,53,60,NA,5,12,LGA,SYR,198,0,A,N,,,,
1988,3,22,5,953,950,1056,1050,PI,1225,NA,63,60,NA,6,3,LGA,SYR,198,1,A,N,,,,
1988,3,23,6,950,950,1041,1050,PI,5667,NA,51,60,NA,-9,0,LGA,SYR,198,1,A,N,,,,
1988,3,25,1,951,950,1049,1050,PI,3445,NA,58,60,NA,-1,1,LGA,SYR,198,1,B,N,,,,
1988,3,26,2,1000,950,1053,1050,PI,2233,NA,53,60,NA,3,10,LGA,SYR,198,1,C,Y,,,,
1988,3,27,3,948,950,1049,1050,PI,4567,NA,61,60,NA,-1,-2,LGA,SYR,198,1,C,Y,,,,
1988,4,28,4,952,950,1041,1050,PI,8765,NA,49,60,NA,-9,2,LGA,SYR,198,1,N,Y,,,,
1988,4,29,5,948,950,1048,1050,PI,3568,NA,60,60,NA,-2,-2,LGA,SYR,198,0,A,Y,,,,
1988,4,30,6,950,950,1040,1050,PI,1254,NA,50,60,NA,-10,0,LGA,SYR,198,1,N,N,,,,
1988,4,1,5,1104,1110,1143,1145,PI,5432,NA,39,35,NA,-2,-6,SYR,BUF,134,0,N,N,,,,
1988,4,3,7,1112,1110,1150,1145,PI,6543,NA,38,35,NA,5,2,SYR,BUF,134,0,N,N,,,,
1988,4,4,1,1249,1110,1328,1145,PI,7689,NA,39,35,NA,103,99,SYR,BUF,134,0,N,N,,,,
1988,4,5,2,1108,1110,1154,1145,PI,9876,NA,46,35,NA,9,-2,SYR,BUF,134,0,N,N,,,,
1988,4,6,3,1118,1110,1154,1145,PI,5890,NA,36,35,NA,9,8,SYR,BUF,134,0,N,N,,,,
1988,4,7,4,1109,1110,1144,1145,PI,2596,NA,35,35,NA,-1,-1,SYR,BUF,134,0,N,N,,,,
1988,4,8,5,1138,1110,1251,1145,PI,1334,NA,73,35,NA,66,28,SYR,BUF,134,0,N,N,,,,
1988,4,11,1,1109,1110,1144,1145,PI,2255,NA,35,35,NA,-1,-1,SYR,BUF,134,0,N,N,,,,
1988,4,12,2,1110,1110,1148,1145,PI,3445,NA,38,35,NA,3,0,SYR,BUF,134,0,N,N,,,,
1988,5,13,3,1126,1110,1201,1145,PI,1345,NA,35,35,NA,16,16,SYR,BUF,134,0,N,N,,,,
1988,5,14,4,1139,1110,1212,1145,PI,1458,NA,33,35,NA,27,29,SYR,BUF,134,0,N,N,,,,
1988,5,15,5,1108,1110,1146,1145,PI,1225,NA,38,35,NA,1,-2,SYR,BUF,134,0,N,N,,,,
1988,5,16,6,1110,1110,1146,1145,PI,5667,NA,36,35,NA,1,0,SYR,BUF,134,0,N,N,,,,
1988,5,18,1,1124,1110,1213,1145,PI,3445,NA,49,35,NA,28,14,SYR,BUF,134,0,N,N,,,,
1988,5,19,2,1110,1110,1152,1145,PI,2233,NA,42,35,NA,7,0,SYR,BUF,134,0,N,N,,,,
1988,5,20,3,1113,1110,1146,1145,PI,4567,NA,33,35,NA,1,3,SYR,BUF,134,0,N,N,,,,
1988,5,21,4,1109,1110,1146,1145,PI,8765,NA,37,35,NA,1,-1,SYR,BUF,134,0,N,N,,,,
1988,5,22,5,1107,1110,1145,1145,PI,3568,NA,38,35,NA,0,-3,SYR,BUF,134,0,N,N,,,,
1988,5,23,6,1110,1110,1142,1145,PI,1254,NA,32,35,NA,-3,0,SYR,BUF,134,0,A,N,,,,
1988,5,25,1,1108,1110,1145,1145,PI,5432,NA,37,35,NA,0,-2,SYR,BUF,134,1,A,N,,,,
1988,5,26,2,1341,1110,NA,1145,PI,6543,NA,NA,35,NA,NA,151,SYR,BUF,134,1,B,N,,,,
1988,5,27,3,1109,1110,1148,1145,PI,7689,NA,39,35,NA,3,-1,SYR,BUF,134,1,B,N,,,,
1988,5,28,4,1106,1110,1140,1145,PI,9876,NA,34,35,NA,-5,-4,SYR,BUF,134,1,B,Y,,,,
1988,6,29,5,1108,1110,1145,1145,PI,5890,NA,37,35,NA,0,-2,SYR,BUF,134,1,N,N,,,,
1988,6,30,6,1110,1110,1147,1145,PI,2596,NA,37,35,NA,2,0,SYR,BUF,134,0,N,Y,,,,
1988,6,1,5,1457,1500,1553,1550,PI,1334,NA,56,50,NA,3,-3,JFK,UCA,191,0,N,Y,,,,
1988,6,2,6,1458,1500,1552,1550,PI,2255,NA,54,50,NA,2,-2,JFK,UCA,191,0,N,N,,,,
1988,6,3,7,1459,1500,1549,1550,PI,3445,NA,50,50,NA,-1,-1,JFK,UCA,191,0,N,Y,,,,
1988,6,4,1,1556,1500,1727,1550,PI,1345,NA,91,50,NA,97,56,JFK,UCA,191,0,N,Y,,,,
1988,6,5,2,1500,1500,1605,1550,PI,1458,NA,65,50,NA,15,0,JFK,UCA,191,0,N,N,,,,
1988,6,6,3,1500,1500,1553,1550,PI,1225,NA,53,50,NA,3,0,JFK,UCA,191,0,N,N,,,,
1988,6,7,4,1500,1500,1602,1550,PI,5667,NA,62,50,NA,12,0,JFK,UCA,191,0,N,N,,,,
1988,6,8,5,NA,1500,NA,1550,PI,3445,NA,NA,50,NA,NA,NA,JFK,UCA,191,0,A,N,,,,
1988,6,10,7,1503,1500,1602,1550,PI,2233,NA,59,50,NA,12,3,JFK,UCA,191,1,N,N,,,,
1988,6,11,1,1459,1500,1554,1550,PI,4567,NA,55,50,NA,4,-1,JFK,UCA,191,0,N,N,,,,
1988,6,12,2,1515,1500,1617,1550,PI,8765,NA,62,50,NA,27,15,JFK,UCA,191,0,N,N,,,,
1988,6,13,3,1501,1500,1553,1550,PI,3568,NA,52,50,NA,3,1,JFK,UCA,191,0,B,N,,,,
1988,7,14,4,1501,1500,1559,1550,PI,1254,NA,58,50,NA,9,1,JFK,UCA,191,1,B,N,,,,
1988,7,15,5,1500,1500,1554,1550,PI,5432,NA,54,50,NA,4,0,JFK,UCA,191,1,B,N,,,,
1988,7,16,6,1500,1500,1600,1550,PI,6543,NA,60,50,NA,10,0,JFK,UCA,191,1,B,N,,,,
1988,7,17,7,1500,1500,1549,1550,PI,7689,NA,49,50,NA,-1,0,JFK,UCA,191,1,B,N,,,,
1988,7,18,1,1459,1500,1603,1550,PI,9876,NA,64,50,NA,13,-1,JFK,UCA,191,1,N,N,,,,
1988,7,19,2,1500,1500,1553,1550,PI,5890,NA,53,50,NA,3,0,JFK,UCA,191,0,N,Y,,,,
1988,7,20,3,1457,1500,1552,1550,PI,2596,NA,55,50,NA,2,-3,JFK,UCA,191,0,N,N,,,,
1988,7,21,4,1458,1500,1558,1550,PI,1334,NA,60,50,NA,8,-2,JFK,UCA,191,0,N,N,,,,
1988,7,22,5,1501,1500,1550,1550,PI,2255,NA,49,50,NA,0,1,JFK,UCA,191,0,N,N,,,,
1988,7,23,6,1459,1500,1554,1550,PI,3445,NA,55,50,NA,4,-1,JFK,UCA,191,0,A,N,,,,
1988,7,24,7,1501,1500,1547,1550,PI,1345,NA,46,50,NA,-3,1,JFK,UCA,191,1,A,N,,,,
1988,7,25,1,1501,1500,1552,1550,PI,1223,NA,51,50,NA,2,1,JFK,UCA,191,1,A,N,,,,
1988,7,26,2,1524,1500,1612,1550,PI,3445,NA,48,50,NA,22,24,JFK,UCA,191,1,N,Y,,,,
1988,7,27,3,1457,1500,1559,1550,PI,4567,NA,62,50,NA,9,-3,JFK,UCA,191,0,N,N,,,,
1988,7,28,4,1457,1500,1554,1550,PI,1234,NA,57,50,NA,4,-3,JFK,UCA,191,0,N,N,,,,
1997,1,28,2,1615,1615,1728,1725,WN,1159,N683,73,70,60,3,0,ABQ,PHX,328,0,N,N,,,,
1997,1,29,3,1624,1615,1735,1725,WN,1159,N626,71,70,56,10,9,ABQ,PHX,328,0,N,N,,,,
1997,1,30,4,1626,1615,1730,1725,WN,1159,N321,64,70,52,5,11,ABQ,PHX,328,0,N,N,,,,
1997,1,31,5,1628,1615,1729,1725,WN,1159,N383,61,70,50,4,13,ABQ,PHX,328,0,N,N,,,,
1997,1,14,2,1503,1425,1619,1535,WN,1221,N513,76,70,64,44,38,ABQ,PHX,328,1,A,N,,,,
1997,1,1,3,1029,1020,1127,1130,WN,1293,N369,58,70,52,-3,9,ABQ,PHX,328,1,A,N,,,,
1997,1,2,4,1020,1020,1130,1130,WN,1293,N395,70,70,57,0,0,ABQ,PHX,328,1,B,N,,,,
1997,1,3,5,1029,1020,1145,1130,WN,1293,N694,76,70,64,15,9,ABQ,PHX,328,1,A,Y,,,,
1997,1,5,7,1020,1020,1141,1130,WN,1293,N601,81,70,61,11,0,ABQ,PHX,328,1,A,Y,,,,
1997,1,6,1,1030,1020,1139,1130,WN,1293,N321,69,70,61,9,10,ABQ,PHX,328,1,C,N,,,,
1997,1,7,2,1020,1020,1123,1130,WN,1293,N351,63,70,56,-7,0,ABQ,PHX,328,0,N,Y,,,,
1997,1,8,3,1107,1020,1205,1130,WN,1293,N677,58,70,46,35,47,ABQ,PHX,328,0,N,N,,,,
1997,1,9,4,1020,1020,1130,1130,WN,1293,N623,70,70,59,0,0,ABQ,PHX,328,1,A,Y,,,,
1997,1,10,5,1020,1020,1123,1130,WN,1293,N632,63,70,56,-7,0,ABQ,PHX,328,1,A,N,,,,
1997,1,12,7,1020,1020,1134,1130,WN,1293,N375,74,70,65,4,0,ABQ,PHX,328,1,A,Y,,,,
1997,1,13,1,1142,1020,NA,1130,WN,1293,N698,NA,70,NA,NA,82,ABQ,PHX,328,0,N,N,,,,
1997,1,14,2,1020,1020,1144,1130,WN,1293,N632,84,70,72,14,0,ABQ,PHX,328,0,N,N,,,,
1997,1,1,3,1523,1510,1625,1620,WN,1427,N347,62,70,48,5,13,ABQ,PHX,328,0,N,N,,,,
1997,1,2,4,1537,1510,1638,1620,WN,1427,N601,61,70,49,18,27,ABQ,PHX,328,0,N,N,,,,
1997,1,3,5,1515,1510,1634,1620,WN,1427,N389,79,70,62,14,5,ABQ,PHX,328,0,N,N,,,,
1997,1,5,7,1556,1510,1705,1620,WN,1427,N352,69,70,60,45,46,ABQ,PHX,328,0,N,N,,,,
1997,1,6,1,1540,1510,1645,1620,WN,1427,N691,65,70,51,25,30,ABQ,PHX,328,0,N,N,,,,
1997,1,7,2,1510,1510,1610,1620,WN,1427,N688,60,70,51,-10,0,ABQ,PHX,328,0,N,N,,,,
1997,1,8,3,1510,1510,1616,1620,WN,1427,N368,66,70,53,-4,0,ABQ,PHX,328,0,N,N,,,,
1997,1,9,4,1510,1510,1609,1620,WN,1427,N359,59,70,51,-11,0,ABQ,PHX,328,0,N,N,,,,
1997,1,10,5,1510,1510,1624,1620,WN,1427,N372,74,70,57,4,0,ABQ,PHX,328,0,N,N,,,,
